"","","","","","","","","","","","","",""
AHIS    1,FOLLAND T F,7,11,1,,12,,,,,,6,37
"",LEAPER L E,6,9,15,4,16,,,,,,21,71
"",MAJSTOROVIC M,24,5,,,,,,,2,,3,34
"",MEDVEDEV N,23,6,3,,7,,,,,,5,44
"",MENDOZA B,19,4,4,2,1,,,,,,7,37
"",MEYER W J,126,31,10,5,17,,,,,,23,212
"",MOUSAVI A,13,8,,,10,,,,,,2,33
"",ROCCHIO M P,31,19,15,3,18,,1,,1,,5,93
"",ROSENBLUM B T,11,6,7,1,5,,2,,,,6,38
"",SIMMONS B B,56,17,16,7,18,,1,1,,,11,127
AHIS    1 Total,,316,116,71,22,104,,4,1,3,,89,726
AHIS    2,CHANDLER M M,44,19,7,4,19,,3,1,,,21,118
"",DONAHUE N J,66,16,9,,17,,2,,,,12,122
"",HESSER M,9,7,3,1,6,,,,,,8,34
"",MAJSTOROVIC M,38,1,,,,,,,,,,39
"",MEDVEDEV N,24,6,,1,,,,,,,6,37
"",MENDOZA B,33,3,2,1,4,,,,,,3,46
"",ROSENBLUM B T,9,3,5,,5,,,,,,9,31
AHIS    2 Total,,223,55,26,7,51,,5,1,,,59,427
AHIS    3,"CARRASCO NEVDAT M
C",20,11,5,1,6,,,,,,,43
"",MIHAYLOVICH K W,17,10,4,2,1,,,,,,6,40
AHIS    3 Total,,37,21,9,3,7,,,,,,6,83
AHIS    5,SIMMONS B B,47,22,8,4,11,,,,,,5,97
AHIS    5 Total,,47,22,8,4,11,,,,,,5,97
AHIS    6,SIMMONS B B,29,5,4,1,5,,,,,,,44
AHIS    6 Total,,29,5,4,1,5,,,,,,,44
AHIS   11,AHMADPOUR A,12,3,2,,5,,4,,,,5,31
"",MAJSTOROVIC M,24,5,,,,,,,,,1,30
"",MENDOZA B,20,5,5,,2,,,,,,6,38
"",MEYER W J,65,26,13,6,20,,1,,,,20,151
"",MOUSAVI A,20,1,,,1,,,,,,4,26
"",THAYER J,25,1,2,1,4,,,,,,3,36
AHIS   17,LEE O,16,6,4,2,7,,1,,,,8,44
"",O'LEARY T F,11,6,4,,5,,,,,,9,35
"",SIMMONS B B,33,6,1,,3,,1,,,,2,46
AHIS   17 Total,,60,18,9,2,15,,2,,,,19,125
AHIS   18,SIMMONS B B,42,16,3,,10,,,,,,9,80
