Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS    1,LEAPER L E,4,20,15,1,19,,,,,,15,74
,,,MC GUIRE M C,12,6,4,,2,,,,,,2,26
,,,MEDVEDEV N,40,7,1,,1,,,,,,3,52
,,,MENDOZA B,42,15,10,1,8,,,,,,12,88
,,,MEYER W J,21,4,1,1,7,,,,,,9,43
,,,O'LEARY T F,11,7,2,1,1,,,,1,,4,27
,,,ROCCHIO M P,10,15,13,7,15,,,1,1,,12,74
,,,ROSENBLUM B T,15,9,2,,6,,,,,,6,38
,,,SIMMONS B B,90,12,11,3,16,,1,,,,7,140
,,AHIS    1 Total,,245,95,59,14,75,,1,1,2,,70,562
,,AHIS    2,CHANDLER M M,10,9,2,,4,,,,,,4,29
,,,DONAHUE N J,35,,,,,,,,1,,5,41
,,,FOLLAND T F,22,7,4,,1,,,,,,2,36
,,,HESSER M,16,4,2,1,3,,,,1,,2,29
,,,MAJSTOROVIC M,86,14,4,1,7,,,1,2,,8,123
,,,MEYER W J,19,4,2,1,8,,,,1,,10,45
,,,ROSENBLUM B T,9,4,2,,5,,,,1,,7,28
,,,WASHINGTON T L,14,7,2,4,1,,,,1,,7,36
,,AHIS    2 Total,,211,49,18,7,29,,,1,7,,45,367
,,AHIS    3,DONAHUE N J,91,8,8,,5,,,,,,12,124
,,,MIHAYLOVICH K W,21,13,2,,2,,,,2,,2,42
,,AHIS    3 Total,,112,21,10,,7,,,,2,,14,166
,,AHIS    5,SIMMONS B B,41,20,6,8,9,,1,1,,,5,91
,,AHIS    5 Total,,41,20,6,8,9,,1,1,,,5,91
,,AHIS    6,SIMMONS B B,27,5,5,,8,,,,,,2,47
,,AHIS    6 Total,,27,5,5,,8,,,,,,2,47
,,AHIS   11,AHMADPOUR A,11,3,1,,5,,1,,,,8,29
,,,APELIAN C D,7,12,4,2,7,,,,,,4,36
,,,LEE O,25,4,2,2,5,,,,,,7,45
,,,MEYER W J,44,16,3,2,19,,,1,1,,9,95
,,,THAYER J,26,8,5,2,5,,,,,,5,51
,,AHIS   11 Total,,113,43,15,8,41,,1,1,1,,33,256
,,,SENARATH GAMAGE L,16,8,3,1,8,,,,,,5,41
,,AHIS   17 Total,,41,27,11,1,19,,,,,,22,121
,,AHIS   18,SIMMONS B B,33,3,2,,3,,1,1,1,,1,45
,,AHIS   18 Total,,33,3,2,,3,,1,1,1,,1,45
,,AHIS   21,ROCCHIO M P,13,4,2,1,2,,1,,,,4,27
,,AHIS   21 Total,,13,4,2,1,2,,1,,,,4,27
,,AHIS   52,DASTIN E R,18,7,3,1,2,,,,,,4,35
,,AHIS   52 Total,,18,7,3,1,2,,,,,,4,35
,,AHIS   72,MIHAYLOVICH K W,14,10,2,,5,,,,,,10,41
,,,RODRIGUEZ K,17,1,,1,3,,,1,1,,7,31
,,AHIS   72 Total,,31,11,2,1,8,,,1,1,,17,72
,AHIS Total,,,885,285,133,41,203,,5,6,14,,217,1789
,ART,ART    10A,ARUTIAN C L,4,5,3,,,,,,1,,8,21
,,,BADGER C P,29,8,6,,2,,1,,,,15,61
,,,KARLSEN A M,15,13,5,3,6,,,,,,5,47
,,,MITCHELL R,19,9,3,,1,,6,,,,4,42
,,,MIYANO E,10,9,,,1,,,,,,4,24
,,,SHIBATA J M,17,3,2,,2,,,,,,,24
,,,WINSRYG M W,6,3,1,,1,,,,,,7,18
,,,ZARCONE J,2,4,2,1,7,,,1,,,5,22
,,ART    10A Total,,102,54,22,4,20,,7,1,1,,48,259
,,ART    10B,BADGER C P,20,3,1,,,,,,,,2,26
,,,MIYANO E,10,8,,,,,,,1,,,19
,,,WINSRYG M W,11,4,,,1,,,,,,3,19
,,ART    10B Total,,41,15,1,,1,,,,1,,5,64
,,ART    10C,BADGER C P,20,1,,,,,,,,,2,23
,,,OBIAMIWE O D,12,4,1,,,,,,1,,2,20
,,ART    10C Total,,32,5,1,,,,,,1,,4,43
,,ART    13,BROMBERG T L,16,,3,,,,,,,,2,21
,,,HARTMAN D G,17,9,,,,,,,,,1,27
,,,HATTON C,20,4,1,,1,,,,2,,1,29
,,,SILVER E M,13,3,,,1,,,,,,2,19
,,ART    13 Total,,66,16,4,,2,,,,2,,6,96
,,ART    17A Total,,12,2,,,2,,,,,,6,22
,,ART    20A,BURCHMAN J H,22,13,3,,2,,,,,,10,50
,,,HATTON C,53,16,5,,4,,,,,,13,91
,,,KOMPANEYETS M,11,1,1,,3,,,,1,,7,24
,,,MAMMARELLA C J,9,7,2,1,1,,,,1,,6,27
,,,OTA N T,8,5,2,,2,,,,,,5,22
,,,VICICH G M,22,8,,,6,,,,1,,13,50
,,,ZARCONE J,6,2,3,1,4,,,,,,5,21
,,ART    20A Total,,131,52,16,2,22,,,,3,,59,285
,,ART    20B,HATTON C,21,1,1,,2,,,,,,3,28
,,,KARLSEN A M,18,9,7,2,2,,,,,,8,46
,,,MAMMARELLA C J,9,6,2,2,2,,,,,,7,28
,,ART    20B Total,,48,16,10,4,6,,,,,,18,102
,,ART    20C,WINSRYG M W,7,2,,,1,,2,,,,2,14
,,ART    20C Total,,7,2,,,1,,2,,,,2,14
,,ART    21A,KOMPANEYETS M,22,2,1,,2,,1,,,,1,29
,,,TRUJILLO M E,31,9,6,,1,,1,,,,3,51
,,ART    21A Total,,53,11,7,,3,,2,,,,4,80
,,ART    30A,SHIBATA J M,10,3,4,,3,,,,,,7,27
,,ART    30A Total,,10,3,4,,3,,,,,,7,27
,,ART    30C,OTA N T,7,5,2,,,,,,,,14,28
,,ART    30C Total,,7,5,2,,,,,,,,14,28
,,ART    31,LOPEZ L G,17,3,2,5,1,,,,1,,15,44
,,,TRUJILLO M E,16,3,1,,2,,,1,,,3,26
,,ART    31 Total,,33,6,3,5,3,,,1,1,,18,70
,,ART    32,LOPEZ L G,4,1,1,1,1,,,,,,,8
,,ART    32 Total,,4,1,1,1,1,,,,,,,8
,,ART    33,TRUJILLO M E,13,1,,,2,,,,,,2,18
,,ART    33 Total,,13,1,,,2,,,,,,2,18
,,ART    34A,LOPEZ L G,15,2,1,,1,,,,1,,3,23
,,ART    34A Total,,15,2,1,,1,,,,1,,3,23
,,ART    34B,LOPEZ L G,10,3,1,1,,,,1,1,,3,20
,,ART    34B Total,,10,3,1,1,,,,1,1,,3,20
,,,HARTMAN D G,44,10,2,,1,,,,1,,3,61
,,ART    40A Total,,60,13,3,1,1,,,,1,,5,84
,,ART    40B,HARTMAN D G,6,2,,,,,,,,,,8
,,ART    40B Total,,6,2,,,,,,,,,,8
,,ART    40C,HARTMAN D G,1,,,,,,,,,,,1
,,ART    40C Total,,1,,,,,,,,,,,1
,,ART    41A,SIMON D L,9,8,2,,1,,,,1,,4,25
,,ART    41A Total,,9,8,2,,1,,,,1,,4,25
,,ART    52A,PHILLIPS F,53,12,1,,,,,,1,,7,74
,,,WHEAT N R,8,2,1,1,1,,,,1,,6,20
,,ART    52A Total,,61,14,2,1,1,,,,2,,13,94
,,ART    52C,PHILLIPS F,21,2,,,,,,,,,5,28
,,ART    52C Total,,21,2,,,,,,,,,5,28
,,ART    60,THOMASON M M,16,4,,4,,,,,,,2,26
,,ART    60 Total,,16,4,,4,,,,,,,2,26
,ART Total,,,758,237,80,23,70,,11,3,15,,228,1425
,ARTS,ARTS   88A,MEYER W J,7,,,,,,,,,,,7
,,ARTS   88A Total,,7,,,,,,,,,,,7
,ARTS Total,,,7,,,,,,,,,,,7
,DESIGN,DESIGN 87J,BADGER C P,11,,,,,,1,,,,1,13
,,DESIGN 87J Total,,11,,,,,,1,,,,1,13
,DESIGN Total,,,11,,,,,,1,,,,1,13
,PHOTO,PHOTO  52,DASTIN E R,20,31,11,1,10,,,,2,,8,83
,,PHOTO  52 Total,,20,31,11,1,10,,,,2,,8,83
,PHOTO Total,,,20,31,11,1,10,,,,2,,8,83
Art Total,,,,1681,553,224,65,283,,17,9,31,,454,3317
Athletics,VAR PE,VAR PE 11B,HANK M E,53,10,3,4,4,,2,,,,5,81
,,,MOSICH N W,29,3,3,2,1,,,,,,5,43
,,VAR PE 11B Total,,82,13,6,6,5,,2,,,,10,124
,,VAR PE 20V,KEARIN J L,10,,,,2,,,,,,1,13
,,,LEDWITH K F,33,1,,2,5,,,,,,2,43
,,VAR PE 20V Total,,43,1,,2,7,,,,,,3,56
,,VAR PE 45W,DRUCKMAN C J,15,,,,,,,,,,2,17
,,VAR PE 48V,ESKRIDGE B M,26,,,,,,,,,,,26
,,VAR PE 48V Total,,26,,,,,,,,,,,26
,,VAR PE 48W,ESKRIDGE B M,11,,,,,,,,,,1,12
,,VAR PE 48W Total,,11,,,,,,,,,,1,12
,,VAR PE 54W,GOLDENSON R M,5,,,,,,,,,,2,7
,,VAR PE 54W Total,,5,,,,,,,,,,2,7
,,VAR PE 56V,SILVA L,27,,,,,,,,,,7,34
,,VAR PE 56V Total,,27,,,,,,,,,,7,34
,,VAR PE 56W,SILVA L,8,,,,,,,,,,1,9
,,VAR PE 56W Total,,8,,,,,,,,,,1,9
,,VAR PE 57V,METICHECCHIA J H,15,,,,1,,,,,,1,17
,,VAR PE 57V Total,,15,,,,1,,,,,,1,17
,,VAR PE 59W,FREEMAN D,17,,,,,,,,,,1,18
,,VAR PE 59W Total,,17,,,,,,,,,,1,18
,,VAR PE 60,BENDITSON A,11,,,,,,,,,,2,13
,,,HANK M E,7,,2,,,,,,,,1,10
,,,LEDWITH K F,1,1,,,,,,,,,,2
,,,MOSICH N W,7,,,1,,,,,,,,8
,,,PIERCE T L,18,,,,,,,,,,1,19
,,,SILVA L,,1,,,,,,,,,,1
,,,THOMAS J L,3,,,,,,,,,,2,5
,,VAR PE 60 Total,,47,2,2,1,,,,,,,6,58
,VAR PE Total,,,296,16,8,9,13,,2,,,,34,378
Athletics Total,,,,296,16,8,9,13,,2,,,,34,378
Business,ACCTG,ACCTG   1,ARAKELIAN A,13,6,7,,,,,,,,9,35
,,,BROOKINS G T,25,22,14,4,18,,,1,,,48,132
,,,FITZGERALD R L,27,24,5,,2,,,,,,9,67
,,,HAIG J S,34,14,3,5,11,,1,,,,8,76
,,,HANOUNEK T H,3,10,4,2,9,,,2,,,10,40
,,,HICKS L E,13,3,1,3,2,,1,,,,9,32
,,,KNIGHT R B,21,8,7,3,1,,,,,,11,51
,,,MAIER L S,24,10,3,2,4,,,,,,3,46
,,,MARES S,13,4,6,2,7,,,1,,,4,37
,,,PLATZ W A,12,14,8,2,11,,,,,,32,79
,,,RUBIO C,12,11,7,,1,,,,,,13,44
,,,TRIPPETTI V J,15,4,6,3,1,,,,,,13,42
,,ACCTG   1 Total,,218,132,72,29,73,,2,4,,,183,713
,,ACCTG   2,ANDRE J M,40,21,8,1,2,,,,,,4,76
,,,ARAKELIAN A,8,6,1,,1,,,,,,5,21
,,,DANIEL C,18,17,12,2,8,,,,,,12,69
,,,KNIGHT R B,19,13,7,3,2,,,,,,8,52
,,,LAMARRA F,42,19,9,1,1,,,,,,1,73
,,,LIM WIN Y,61,6,3,,2,,,,,,5,77
,,,LU M,4,8,3,,1,,,,,,4,20
,,,MAIER L S,12,9,2,3,2,,,,,,1,29
,,,MARES S,16,13,3,,,,,,,,3,35
,,,TRIPPETTI V J,10,15,7,4,2,,,,,,8,46
,,ACCTG   2 Total,,230,127,55,14,21,,,,,,51,498
,,ACCTG   6,HANSON M P,4,15,2,,1,,,,2,,3,27
,,ACCTG   6 Total,,4,15,2,,1,,,,2,,3,27
,,ACCTG   7,HANSON M P,7,7,2,,2,,,,1,,2,21
,,ACCTG   7 Total,,7,7,2,,2,,,,1,,2,21
,,ACCTG   9,KIM J S,48,17,7,,1,,,,2,,1,76
,,,KIM M S,15,6,,,6,,,,,,6,33
,,ACCTG   9 Total,,63,23,7,,7,,,,2,,7,109
,,ACCTG  10A,LU M,14,17,9,1,1,,,,1,,4,47
,,ACCTG  10A Total,,14,17,9,1,1,,,,1,,4,47
,,ACCTG  10B,LU M,20,12,3,,1,,,,3,,7,46
,,ACCTG  10B Total,,20,12,3,,1,,,,3,,7,46
,,ACCTG  10C,HANSON M P,5,5,,,1,,,,1,,4,16
,,,KIM J S,10,11,3,,1,,,,,,6,31
,,ACCTG  10C Total,,15,16,3,,2,,,,1,,10,47
,,ACCTG  11,CARBALLO P S,22,5,4,,1,,,,,,2,34
,,ACCTG  11 Total,,22,5,4,,1,,,,,,2,34
,,ACCTG  12,STEINBERGER E K,34,16,1,,2,,,,,,10,63
,,ACCTG  12 Total,,34,16,1,,2,,,,,,10,63
,,ACCTG  15 Total,,8,8,2,1,3,,,,1,,6,29
,,ACCTG  16,RUBIO C,10,4,1,2,1,,,,,,7,25
,,ACCTG  16 Total,,10,4,1,2,1,,,,,,7,25
,,ACCTG  19A,RUBIO C,17,,,1,1,,,,,,,19
,,ACCTG  19A Total,,17,,,1,1,,,,,,,19
,,ACCTG  21,BROOKINS G T,4,2,4,1,5,,,,,,13,29
,,,RESNICK W J,59,10,5,3,6,,,1,1,,14,99
,,ACCTG  21 Total,,63,12,9,4,11,,,1,1,,27,128
,,ACCTG  22,RUBIO C,2,10,4,4,2,,,,,,10,32
,,ACCTG  22 Total,,2,10,4,4,2,,,,,,10,32
,,ACCTG  23,RUBIO C,2,6,1,2,,,,,,,6,17
,,ACCTG  23 Total,,2,6,1,2,,,,,,,6,17
,,ACCTG  31A,VALDIVIA O,14,8,2,3,3,,,,,,7,37
,,ACCTG  31A Total,,14,8,2,3,3,,,,,,7,37
